year,league,division,team,wins,peryearwinschange,losses,ties,wp,gb,teampayroll,peryearpayrollchange
2019,National,East,Philadelphia Phillies,81,1,81,0,0.500,16.0,"140,711,962",0.88399
2018,National,East,Philadelphia Phillies,80,14,82,0,0.494,10.0,"74,688,166",-0.13669
2017,National,East,Philadelphia Phillies,66,-5,96,0,0.407,31.0,"86,513,378",0.90298
2016,National,East,Philadelphia Phillies,71,8,91,0,0.438,24.0,"45,462,000",-0.57725
2015,National,East,Philadelphia Phillies,63,-10,99,0,0.389,27.0,"107,540,000",-0.40273
2014,National,East,Philadelphia Phillies,73,0,89,0,0.451,23.0,"180,052,723",0.24264
2013,National,East,Philadelphia Phillies,73,-8,89,0,0.451,23.0,"144,895,714",-0.16984
2012,National,East,Philadelphia Phillies,81,-21,81,0,0.500,17.0,"174,538,938",0.00903
2011,National,East,Philadelphia Phillies,102,5,60,0,0.630,0.0,"172,976,379",0.21877
2010,National,East,Philadelphia Phillies,97,4,65,0,0.599,0.0,"141,927,381",0.25595
2009,National,East,Philadelphia Phillies,93,1,69,0,0.574,0.0,"113,004,046",0.14994
2008,National,East,Philadelphia Phillies,92,3,70,0,0.568,0.0,"98,269,881",0.09887
2007,National,East,Philadelphia Phillies,89,4,73,0,0.549,0.0,"89,428,213",0.01308
2006,National,East,Philadelphia Phillies,85,-3,77,0,0.525,12.0,"88,273,333",-0.07588
2005,National,East,Philadelphia Phillies,88,2,74,0,0.543,2.0,"95,522,000",0.02470
2004,National,East,Philadelphia Phillies,86,0,76,0,0.531,10.0,"93,219,167",0.31703
2003,National,East,Philadelphia Phillies,86,6,76,0,0.531,15.0,"70,780,000",0.22129
2002,National,East,Philadelphia Phillies,80,-6,81,0,0.497,21.0,"57,955,000",0.39100
2001,National,East,Philadelphia Phillies,86,21,76,0,0.531,2.0,"41,664,167",-0.11930
2000,National,East,Philadelphia Phillies,65,-12,97,0,0.401,30.0,"47,308,000",0.55406
1999,National,East,Philadelphia Phillies,77,0,85,0,0.475,26.0,"30,441,500",0.00000
2019,National,Central,Pittsburgh Pirates,69,-13,93,0,0.426,22.0,"76,589,154",-0.05836
2018,National,Central,Pittsburgh Pirates,82,7,79,0,0.509,13.0,"81,335,833",-0.15393
2017,National,Central,Pittsburgh Pirates,75,-3,87,0,0.463,17.0,"96,133,666",-0.05053
2016,National,Central,Pittsburgh Pirates,78,-20,83,0,0.484,25.0,"101,249,666",0.19530
2015,National,Central,Pittsburgh Pirates,98,10,64,0,0.605,0.0,"84,706,665",0.08443
2014,National,Central,Pittsburgh Pirates,88,-6,74,0,0.543,2.0,"78,111,667",0.00719
2013,National,Central,Pittsburgh Pirates,94,15,68,0,0.580,3.0,"77,554,000",0.22263
2012,National,Central,Pittsburgh Pirates,79,7,83,0,0.488,18.0,"63,431,999",0.40813
2011,National,Central,Pittsburgh Pirates,72,15,90,0,0.444,24.0,"45,047,000",0.28916
2010,National,Central,Pittsburgh Pirates,57,-5,105,0,0.352,34.0,"34,943,000",-0.28238
2009,National,Central,Pittsburgh Pirates,62,-5,99,0,0.385,28.0,"48,693,001",-0.01362
2008,National,Central,Pittsburgh Pirates,67,-1,95,0,0.414,30.0,"49,365,283",0.28096
2007,National,Central,Pittsburgh Pirates,68,1,94,0,0.420,17.0,"38,537,833",-0.17509
2006,National,Central,Pittsburgh Pirates,67,0,95,0,0.414,16.0,"46,717,750",0.22513
2005,National,Central,Pittsburgh Pirates,67,-5,95,0,0.414,33.0,"38,133,000",0.18323
2004,National,Central,Pittsburgh Pirates,72,-3,89,0,0.447,32.0,"32,227,929",-0.41203
2003,National,Central,Pittsburgh Pirates,75,3,87,0,0.463,13.0,"54,812,429",0.29508
2002,National,Central,Pittsburgh Pirates,72,10,89,0,0.447,24.0,"42,323,598",-0.19687
2001,National,Central,Pittsburgh Pirates,62,-7,100,0,0.383,31.0,"52,698,333",0.82169
2000,National,Central,Pittsburgh Pirates,69,-9,93,0,0.426,26.0,"28,928,333",0.22151
1999,National,Central,Pittsburgh Pirates,78,0,83,0,0.484,18.0,"23,682,420",0.00000
2019,National,West,San Diego Padres,70,4,92,0,0.432,36.0,"99,205,017",0.34576
2018,National,West,San Diego Padres,66,-5,96,0,0.407,24.5,"73,716,532",1.29446
2017,National,West,San Diego Padres,71,3,91,0,0.438,33.0,"32,128,066",-0.64300
2016,National,West,San Diego Padres,68,-6,94,0,0.420,23.0,"89,995,814",-0.25640
2015,National,West,San Diego Padres,74,-3,88,0,0.457,18.0,"121,027,794",0.34335
2014,National,West,San Diego Padres,77,1,85,0,0.475,17.0,"90,094,196",0.44601
2013,National,West,San Diego Padres,76,0,86,0,0.469,16.0,"62,305,200",0.12780
2012,National,West,San Diego Padres,76,5,86,0,0.469,18.0,"55,244,700",0.20440
2011,National,West,San Diego Padres,71,-19,91,0,0.438,23.0,"45,869,140",0.21349
2010,National,West,San Diego Padres,90,15,72,0,0.556,2.0,"37,799,300",-0.13570
2009,National,West,San Diego Padres,75,12,87,0,0.463,20.0,"43,734,200",-0.40641
2008,National,West,San Diego Padres,63,-26,99,0,0.389,21.0,"73,677,617",0.26789
2007,National,West,San Diego Padres,89,1,74,0,0.546,1.0,"58,110,567",-0.16862
2006,National,West,San Diego Padres,88,6,74,0,0.543,0.0,"69,896,141",0.10436
2005,National,West,San Diego Padres,82,-5,80,0,0.506,0.0,"63,290,833",0.15833
2004,National,West,San Diego Padres,87,23,75,0,0.537,6.0,"54,639,503",0.14003
2003,National,West,San Diego Padres,64,-2,98,0,0.395,36.0,"47,928,000",0.15698
2002,National,West,San Diego Padres,66,-13,96,0,0.407,32.0,"41,425,000",0.08066
2001,National,West,San Diego Padres,79,3,83,0,0.488,13.0,"38,333,117",-0.30076
2000,National,West,San Diego Padres,76,2,86,0,0.469,21.0,"54,821,000",0.17876
1999,National,West,San Diego Padres,74,0,88,0,0.457,26.0,"46,507,179",0.00000
2019,National,West,San Francisco Giants,77,4,85,0,0.475,29.0,"178,286,222",-0.03367
2018,National,West,San Francisco Giants,73,9,89,0,0.451,18.5,"184,499,166",0.37665
2017,National,West,San Francisco Giants,64,-23,98,0,0.395,40.0,"134,020,166",0.05752
2016,National,West,San Francisco Giants,87,3,75,0,0.537,4.0,"126,730,166",0.01559
2015,National,West,San Francisco Giants,84,-4,78,0,0.519,8.0,"124,784,832",-0.19069
2014,National,West,San Francisco Giants,88,12,74,0,0.543,6.0,"154,185,878",0.48124
2013,National,West,San Francisco Giants,76,-18,86,0,0.469,16.0,"104,092,501",-0.11502
2012,National,West,San Francisco Giants,94,8,68,0,0.580,0.0,"117,620,683",-0.00489
2011,National,West,San Francisco Giants,86,-6,76,0,0.531,8.0,"118,198,333",0.20822
2010,National,West,San Francisco Giants,92,4,70,0,0.568,0.0,"97,828,833",0.18413
2009,National,West,San Francisco Giants,88,16,74,0,0.543,7.0,"82,616,450",0.07427
2008,National,West,San Francisco Giants,72,1,90,0,0.444,12.0,"76,904,500",-0.14758
2007,National,West,San Francisco Giants,71,-5,91,0,0.438,19.0,"90,219,056",0.00181
2006,National,West,San Francisco Giants,76,1,85,0,0.472,11.0,"90,056,419",-0.00159
2005,National,West,San Francisco Giants,75,-16,87,0,0.463,7.0,"90,199,500",0.09974
2004,National,West,San Francisco Giants,91,-9,71,0,0.562,2.0,"82,019,167",-0.01005
2003,National,West,San Francisco Giants,100,5,61,0,0.621,0.0,"82,852,167",0.05814
2002,National,West,San Francisco Giants,95,5,66,0,0.590,2.0,"78,299,835",0.23633
2001,National,West,San Francisco Giants,90,-7,72,0,0.556,2.0,"63,332,667",0.17855
2000,National,West,San Francisco Giants,97,11,65,0,0.599,0.0,"53,737,826",0.16842
1999,National,West,San Francisco Giants,86,0,76,0,0.531,14.0,"45,991,934",0.00000
2019,American,West,Seattle Mariners,68,-21,94,0,0.420,39.0,"150,906,143",-0.08710
2018,American,West,Seattle Mariners,89,11,73,0,0.549,14.0,"165,303,943",0.39842
2017,American,West,Seattle Mariners,78,-8,84,0,0.481,23.0,"118,207,720",0.18853
2016,American,West,Seattle Mariners,86,10,76,0,0.531,9.0,"99,457,243",0.08451
2015,American,West,Seattle Mariners,76,-11,86,0,0.469,12.0,"91,706,842",-0.00407
2014,American,West,Seattle Mariners,87,16,75,0,0.537,11.0,"92,081,943",0.52716
2013,American,West,Seattle Mariners,71,-4,91,0,0.438,25.0,"60,296,043",-0.26449
2012,American,West,Seattle Mariners,75,8,87,0,0.463,19.0,"81,978,100",-0.05255
2011,American,West,Seattle Mariners,67,6,95,0,0.414,29.0,"86,524,600",-0.12048
2010,American,West,Seattle Mariners,61,-24,101,0,0.377,29.0,"98,376,667",-0.00533
2009,American,West,Seattle Mariners,85,24,77,0,0.525,12.0,"98,904,166",-0.16179
2008,American,West,Seattle Mariners,61,-27,101,0,0.377,39.0,"117,993,982",0.10833
2007,American,West,Seattle Mariners,88,10,74,0,0.543,6.0,"106,460,833",0.21033
2006,American,West,Seattle Mariners,78,9,84,0,0.481,15.0,"87,959,833",0.00234
2005,American,West,Seattle Mariners,69,6,93,0,0.426,26.0,"87,754,334",0.07616
2004,American,West,Seattle Mariners,63,-30,99,0,0.389,29.0,"81,543,833",-0.06227
2003,American,West,Seattle Mariners,93,0,69,0,0.574,3.0,"86,959,167",0.08316
2002,American,West,Seattle Mariners,93,-23,69,0,0.574,10.0,"80,282,668",0.06120
2001,American,West,Seattle Mariners,116,25,46,0,0.716,0.0,"75,652,500",0.28410
2000,American,West,Seattle Mariners,91,12,71,0,0.562,0.0,"58,915,000",0.29908
1999,American,West,Seattle Mariners,79,0,83,0,0.488,16.0,"45,351,254",0.00000
2019,National,Central,St. Louis Cardinals,91,3,71,0,0.562,0.0,"162,830,430",0.60292
2018,National,Central,St. Louis Cardinals,88,5,74,0,0.543,7.5,"101,583,666",-0.10567
2017,National,Central,St. Louis Cardinals,83,-3,79,0,0.512,9.0,"113,586,266",-0.02329
2016,National,Central,St. Louis Cardinals,86,-14,76,0,0.531,17.5,"116,295,166",0.17854
2015,National,Central,St. Louis Cardinals,100,10,62,0,0.617,0.0,"98,676,957",-0.11118
2014,National,Central,St. Louis Cardinals,90,-7,72,0,0.556,0.0,"111,020,360",0.18672
2013,National,Central,St. Louis Cardinals,97,9,65,0,0.599,0.0,"93,552,086",-0.15185
2012,National,Central,St. Louis Cardinals,88,-2,74,0,0.543,9.0,"110,300,862",0.04616
2011,National,Central,St. Louis Cardinals,90,4,72,0,0.556,6.0,"105,433,572",0.12714
2010,National,Central,St. Louis Cardinals,86,-5,76,0,0.531,5.0,"93,540,753",0.20534
2009,National,Central,St. Louis Cardinals,91,5,71,0,0.562,0.0,"77,605,109",-0.22876
2008,National,Central,St. Louis Cardinals,86,8,76,0,0.531,11.0,"100,624,450",0.11450
2007,National,Central,St. Louis Cardinals,78,-5,84,0,0.481,7.0,"90,286,823",0.01570
2006,National,Central,St. Louis Cardinals,83,-17,78,0,0.516,0.0,"88,891,371",-0.03491
2005,National,Central,St. Louis Cardinals,100,-5,62,0,0.617,0.0,"92,106,833",0.21780
2004,National,Central,St. Louis Cardinals,105,20,57,0,0.648,0.0,"75,633,517",-0.09417
2003,National,Central,St. Louis Cardinals,85,-12,77,0,0.525,3.0,"83,496,666",0.12684
2002,National,Central,St. Louis Cardinals,97,4,65,0,0.599,0.0,"74,098,267",-0.04106
2001,National,Central,St. Louis Cardinals,93,-2,69,0,0.574,0.0,"77,270,855",0.25738
2000,National,Central,St. Louis Cardinals,95,20,67,0,0.586,0.0,"61,453,863",0.32623
1999,National,Central,St. Louis Cardinals,75,0,86,0,0.466,21.0,"46,337,129",0.00000
2019,American,East,Tampa Bay Rays,96,6,66,0,0.593,7.0,"60,444,931",-0.13161
2018,American,East,Tampa Bay Rays,90,10,72,0,0.556,18.0,"69,605,999",0.09896
2017,American,East,Tampa Bay Rays,80,12,82,0,0.494,13.0,"63,338,033",0.18041
2016,American,East,Tampa Bay Rays,68,-12,94,0,0.420,25.0,"53,657,743",-0.25972
2015,American,East,Tampa Bay Rays,80,3,82,0,0.494,13.0,"72,482,918",-0.05943
2014,American,East,Tampa Bay Rays,77,-15,85,0,0.475,19.0,"77,062,891",0.48475
2013,American,East,Tampa Bay Rays,92,2,71,0,0.564,5.0,"51,903,072",-0.19121
2012,American,East,Tampa Bay Rays,90,-1,72,0,0.556,5.0,"64,173,500",0.56316
2011,American,East,Tampa Bay Rays,91,-5,71,0,0.562,6.0,"41,053,571",-0.42920
2010,American,East,Tampa Bay Rays,96,12,66,0,0.593,0.0,"71,923,471",0.13600
2009,American,East,Tampa Bay Rays,84,-13,78,0,0.519,19.0,"63,313,034",0.44482
2008,American,East,Tampa Bay Rays,97,31,65,0,0.599,0.0,"43,820,598",0.81651
2007,American,East,Tampa Bay Rays,66,5,96,0,0.407,30.0,"24,123,500",-0.31889
2006,American,East,Tampa Bay Rays,61,-6,101,0,0.377,36.0,"35,417,967",0.20621
2005,American,East,Tampa Bay Rays,67,-3,95,0,0.414,28.0,"29,363,067",-0.00487
2004,American,East,Tampa Bay Rays,70,7,91,0,0.435,30.0,"29,506,667",0.50314
2003,American,East,Tampa Bay Rays,63,8,99,0,0.389,38.0,"19,630,000",-0.42903
2002,American,East,Tampa Bay Rays,55,-7,106,0,0.342,48.0,"34,380,000",-0.37261
2001,American,East,Tampa Bay Rays,62,-7,100,0,0.383,34.0,"54,798,500",-0.12693
2000,American,East,Tampa Bay Rays,69,0,92,0,0.429,18.0,"62,765,129",0.65780
1999,American,East,Tampa Bay Rays,69,0,93,0,0.426,29.0,"37,860,451",0.00000
2019,American,West,Texas Rangers,78,11,84,0,0.481,29.0,"127,660,652",-0.00901
2018,American,West,Texas Rangers,67,-11,95,0,0.414,36.0,"128,821,249",-0.17297
2017,American,West,Texas Rangers,78,-17,84,0,0.481,23.0,"155,764,342",0.38205
2016,American,West,Texas Rangers,95,7,67,0,0.586,0.0,"112,705,390",0.15508
2015,American,West,Texas Rangers,88,21,74,0,0.543,0.0,"97,574,040",-0.28273
2014,American,West,Texas Rangers,67,-24,95,0,0.414,31.0,"136,036,172",0.22647
2013,American,West,Texas Rangers,91,-2,72,0,0.558,5.0,"110,917,100",-0.07961
2012,American,West,Texas Rangers,93,-3,69,0,0.574,1.0,"120,510,974",0.30565
2011,American,West,Texas Rangers,96,6,66,0,0.593,0.0,"92,299,264",0.67056
2010,American,West,Texas Rangers,90,3,72,0,0.556,0.0,"55,250,545",-0.18962
2009,American,West,Texas Rangers,87,8,75,0,0.537,10.0,"68,178,798",-0.00089
2008,American,West,Texas Rangers,79,4,83,0,0.488,21.0,"68,239,551",-0.00116
2007,American,West,Texas Rangers,75,-5,87,0,0.463,19.0,"68,318,675",0.00132
2006,American,West,Texas Rangers,80,1,82,0,0.494,13.0,"68,228,662",0.22166
2005,American,West,Texas Rangers,79,-10,83,0,0.488,16.0,"55,849,000",0.01866
2004,American,West,Texas Rangers,89,18,73,0,0.549,3.0,"54,825,973",-0.47024
2003,American,West,Texas Rangers,71,-1,91,0,0.438,25.0,"103,491,667",-0.01719
2002,American,West,Texas Rangers,72,-1,90,0,0.444,31.0,"105,302,124",0.18980
2001,American,West,Texas Rangers,73,2,89,0,0.451,43.0,"88,504,421",0.25013
2000,American,West,Texas Rangers,71,-24,91,0,0.438,20.0,"70,795,921",-0.12383
1999,American,West,Texas Rangers,95,0,67,0,0.586,0.0,"80,801,598",0.00000
2019,American,East,Toronto Blue Jays,67,-6,95,0,0.414,36.0,"112,037,006",-0.31736
2018,American,East,Toronto Blue Jays,73,-3,89,0,0.451,35.0,"164,122,200",0.34783
2017,American,East,Toronto Blue Jays,76,-13,86,0,0.469,17.0,"121,767,667",-0.16700
2016,American,East,Toronto Blue Jays,89,-4,73,0,0.549,4.0,"146,179,900",0.47812
2015,American,East,Toronto Blue Jays,93,10,69,0,0.574,0.0,"98,895,700",-0.25434
2014,American,East,Toronto Blue Jays,83,9,79,0,0.512,13.0,"132,628,700",0.17324
2013,American,East,Toronto Blue Jays,74,1,88,0,0.457,23.0,"113,044,500",0.49749
2012,American,East,Toronto Blue Jays,73,-8,89,0,0.451,22.0,"75,489,200",0.20652
2011,American,East,Toronto Blue Jays,81,-4,81,0,0.500,16.0,"62,567,800",-0.00194
2010,American,East,Toronto Blue Jays,85,10,77,0,0.525,11.0,"62,689,357",-0.22162
2009,American,East,Toronto Blue Jays,75,-11,87,0,0.463,28.0,"80,538,300",-0.18353
2008,American,East,Toronto Blue Jays,86,3,76,0,0.531,11.0,"98,641,957",0.20379
2007,American,East,Toronto Blue Jays,83,-4,79,0,0.512,13.0,"81,942,800",0.13944
2006,American,East,Toronto Blue Jays,87,7,75,0,0.537,10.0,"71,915,000",0.57296
2005,American,East,Toronto Blue Jays,80,13,82,0,0.494,15.0,"45,719,500",-0.08592
2004,American,East,Toronto Blue Jays,67,-19,94,0,0.416,33.0,"50,017,000",-0.02442
2003,American,East,Toronto Blue Jays,86,8,76,0,0.531,15.0,"51,269,000",-0.33299
2002,American,East,Toronto Blue Jays,78,-2,84,0,0.481,25.0,"76,864,333",0.01406
2001,American,East,Toronto Blue Jays,80,-3,82,0,0.494,16.0,"75,798,500",0.63930
2000,American,East,Toronto Blue Jays,83,-1,79,0,0.512,4.0,"46,238,333",-0.05341
1999,American,East,Toronto Blue Jays,84,0,78,0,0.519,14.0,"48,847,300",0.00000
2019,National,East,Washington Nationals,93,11,69,0,0.574,4.0,"161,877,935",0.14303
2018,National,East,Washington Nationals,82,-15,80,0,0.506,8.0,"141,622,200",0.13476
2017,National,East,Washington Nationals,97,2,65,0,0.599,0.0,"124,804,062",0.05059
2016,National,East,Washington Nationals,95,12,67,0,0.586,0.0,"118,793,822",-0.20099
2015,National,East,Washington Nationals,83,-13,79,0,0.512,7.0,"148,676,453",0.10372
2014,National,East,Washington Nationals,96,10,66,0,0.593,0.0,"134,704,437",0.20967
2013,National,East,Washington Nationals,86,-12,76,0,0.531,10.0,"111,356,769",0.36909
2012,National,East,Washington Nationals,98,18,64,0,0.605,0.0,"81,336,143",0.27372
2011,National,East,Washington Nationals,80,11,81,0,0.497,21.0,"63,856,928",0.03959
2010,National,East,Washington Nationals,69,10,93,0,0.426,28.0,"61,425,000",0.01818
2009,National,East,Washington Nationals,59,0,103,0,0.364,34.0,"60,328,000",0.09765
2008,National,East,Washington Nationals,59,-14,102,0,0.366,32.0,"54,961,000",0.47161
2007,National,East,Washington Nationals,73,2,89,0,0.451,16.0,"37,347,500",-0.40853
2006,National,East,Washington Nationals,71,-10,91,0,0.438,26.0,"63,143,000",0.29973
2005,National,East,Washington Nationals,81,14,81,0,0.500,9.0,"48,581,500",0.12464
2004,National,East,Washington Nationals,67,-16,95,0,0.414,29.0,"43,197,500",-0.16846
2003,National,East,Washington Nationals,83,0,79,0,0.512,18.0,"51,948,500",0.34336
2002,National,East,Washington Nationals,83,15,79,0,0.512,19.0,"38,670,500",0.11204
2001,National,East,Washington Nationals,68,1,94,0,0.420,20.0,"34,774,500",-0.00094
2000,National,East,Washington Nationals,67,-1,95,0,0.414,28.0,"34,807,333",1.31813
1999,National,East,Washington Nationals,68,0,94,0,0.420,35.0,"15,015,250",0.00000